step 00663/01680 (39.46%) | loss: 3.199503 | lrm: 0.93 | dt: 2135.71ms | tok/sec: 245,486 | bf16_mfu: 59.77 | epoch: 1 pq: 7 rg: 31 | total time: 23.21m | eta: 36.2m
step 00664/01680 (39.52%) | loss: 3.196146 | lrm: 0.93 | dt: 2134.22ms | tok/sec: 245,658 | bf16_mfu: 59.82 | epoch: 1 pq: 7 rg: 32 | total time: 23.25m | eta: 36.1m
step 00665/01680 (39.58%) | loss: 3.197668 | lrm: 0.93 | dt: 2143.11ms | tok/sec: 244,639 | bf16_mfu: 59.57 | epoch: 1 pq: 7 rg: 33 | total time: 23.29m | eta: 36.1m
step 00666/01680 (39.64%) | loss: 3.194845 | lrm: 0.93 | dt: 2137.25ms | tok/sec: 245,310 | bf16_mfu: 59.73 | epoch: 1 pq: 7 rg: 34 | total time: 23.32m | eta: 36.0m
step 00667/01680 (39.70%) | loss: 3.193661 | lrm: 0.93 | dt: 2137.77ms | tok/sec: 245,249 | bf16_mfu: 59.72 | epoch: 1 pq: 7 rg: 35 | total time: 23.36m | eta: 36.0m
step 00668/01680 (39.76%) | loss: 3.190684 | lrm: 0.93 | dt: 2135.73ms | tok/sec: 245,484 | bf16_mfu: 59.77 | epoch: 1 pq: 7 rg: 36 | total time: 23.39m | eta: 36.0m
step 00669/01680 (39.82%) | loss: 3.195406 | lrm: 0.93 | dt: 2135.23ms | tok/sec: 245,541 | bf16_mfu: 59.79 | epoch: 1 pq: 7 rg: 37 | total time: 23.43m | eta: 35.9m
step 00670/01680 (39.88%) | loss: 3.194302 | lrm: 0.93 | dt: 2132.87ms | tok/sec: 245,813 | bf16_mfu: 59.85 | epoch: 1 pq: 7 rg: 38 | total time: 23.46m | eta: 35.9m
step 00671/01680 (39.94%) | loss: 3.191675 | lrm: 0.93 | dt: 2131.22ms | tok/sec: 246,003 | bf16_mfu: 59.90 | epoch: 1 pq: 7 rg: 39 | total time: 23.50m | eta: 35.9m
step 00672/01680 (40.00%) | loss: 3.187771 | lrm: 0.93 | dt: 2137.26ms | tok/sec: 245,308 | bf16_mfu: 59.73 | epoch: 1 pq: 7 rg: 40 | total time: 23.53m | eta: 35.8m
step 00673/01680 (40.06%) | loss: 3.187304 | lrm: 0.93 | dt: 2133.91ms | tok/sec: 245,694 | bf16_mfu: 59.82 | epoch: 1 pq: 7 rg: 40 | total time: 23.57m | eta: 35.8m
step 00674/01680 (40.12%) | loss: 3.185863 | lrm: 0.93 | dt: 2136.64ms | tok/sec: 245,379 | bf16_mfu: 59.75 | epoch: 1 pq: 7 rg: 41 | total time: 23.61m | eta: 35.8m
step 00675/01680 (40.18%) | loss: 3.190187 | lrm: 0.92 | dt: 2138.75ms | tok/sec: 245,137 | bf16_mfu: 59.69 | epoch: 1 pq: 7 rg: 42 | total time: 23.64m | eta: 35.7m
